"";"No procedure property";F;" ";T;F;"";2013/06/05;"Ei toimenpideoiminaisuutta";T
"13S05";"Female reproductive system reconstructive procedure";T;"0";T;F;"";1996/12/31;"Niasen lis‰‰ntymiselinten korjaava leikkaus";T
"13S06";"D&C, conization or radio-implant";T;"0";T;F;"";1996/12/31;"Laajennus ja kaavinta tai konisaatio tai paikallinen s‰dehoito";F
"13S07";"Endoscopic tubal interruption";T;"0";T;F;"";1996/12/31;"Endoskooppinen munajohdinten tukkiminen";T
"13S08";"Other female reproductive system OR procedure";T;"0";T;F;"";1996/12/31;"Muu naisen lis‰‰ntymiselinten toimenpide";F
"13S20";"Laparatomy";F;"0";T;F;"13";2003/09/11;"Vatsaontelon tutkimusleikkaus";T
"13S80";"Radiation therapy of female reproductive organs";F;"0";T;F;"13";/  /;"Naisen sukuelinten s‰dehoito";T
"13V01";"Major reproductive medicine interventions";F;"0";T;F;"";/  /;"";F
"13V02";"Minor reproductive medicine interventions";F;"0";T;F;"";/  /;"";F
"13V04";"Gynecological biopsy";F;"0";T;F;"";/  /;"";F
"13V05";"Gynecological ultrasonography";F;"0";T;F;"";/  /;"";F
"13V06";"Other gynecological intervention";F;"0";T;F;"";/  /;"";F
"14D01";"Diagnostic procedure of head, neck and central nervous system during prenancy";F;"0";T;F;"";/  /;"";F
"14D02";"Demanding diagnostic procedure of head, neck and central nervous system during pregnancy";F;"0";T;F;"";/  /;"";F
"14D09";"Obstetric ultrasound";F;"0";T;F;"";/  /;"";F
"14D11";"Diagnostic procedure of endocrine organs during pregnancy";F;"0";T;F;"";/  /;"";T
"14D51";"Obstetric diagnostic imiging  procedure";F;"0";T;F;"";2004/08/10;"";F
"14D71";"Diagnostic procedure of breast during pregnancy";F;"0";T;F;"";/  /;"";F
"14D72";"Demanding diagnostic procedure of breast during pregnancy";F;"0";T;F;"";/  /;"";F
"14E11";"Gastroscopy in pregnancy";T;"0";T;F;"14";/  /;"Gastroskopia raskauden aikana";F
"14O01";"Puncture of feturs or placenta";F;"0";T;F;"";/  /;"";T
"14O02";"Other delivery related procedure";F;"0";T;F;"";/  /;"";F
"14O03";"Medical abortion";F;"0";T;F;"";/  /;"";F
"14O04";"Obstetric diagnostic procedure";F;"0";T;F;"";2009/07/13;"";F
"14O05";"Fetus diagnostics";F;"0";T;F;"";2010/12/20;"";F
"14S01";"Cesarean section";T;"0";T;T;"14";1996/12/31;"Sektio";T
"14S02";"Sterilization or postpartum D&C";T;"0";T;F;"";1996/12/31;"Sterilisaatio tai synnytyksen j‰lkeinen kohdun laajennus ja kaavinta";T
"14S03";"Other obstetric OR procedure";T;"0";T;F;"";1996/12/31;"Muu synnytykseen tai raskauteen liittyv‰ toimenpide";F
"14S04";"Procedure of normal delivery";T;"0";T;F;"";1996/12/31;"Normaaliin synnytykseen liittyv‰ toimenpide";F
"14S05";"OR procedure in abortion";T;"0";T;F;"";1996/12/31;"Keskenmenoon tai raskaudenkeskeytykseen liittyv‰ toimenpide";T
"14S11";"Procedures for ectopic pregnancy";T;"0";T;F;"14";/  /;"";F
"14S90";"Significant operation for obstetrical patient";T;"0";T;F;"";1996/12/31;"Obstetrisesti merkitt‰v‰ toimenpide";F
"14V01";"Puncture of fetus and placenta";F;"0";T;F;"";/  /;"";F
"14V02";"Pharmakolocigal abortion";F;"0";T;F;"";2008/05/20;"";F
"14V03";"Intervetion for delivery";F;"0";T;F;"";/  /;"";T
"14V04";"Obstetric ultrasonography";F;"0";T;F;"";/  /;"";F
"15S01";"Major neonatal operation";T;"0";T;F;"";1998/11/29;"Laaja vastasyntyneen leikkaus";F
"15S02";"Neonatal intensive care procedure";T;"0";T;F;"15";2000/05/13;"Vastasyntyneen tehohoidon toimenpide";F
"15S03";"Minor neonatal procedure";T;"0";T;F;"";1998/11/18;"V‰h‰inen vastasyntyneen toimenpide";F
"16D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs in MDC 16";F;"0";T;F;"";/  /;"";T
"16D61";"Diagnostic procedure of periferal vascular system in MDC 16";F;"0";T;F;"";2004/08/10;"";T
"16D62";"Demanding diagnostic procedure of periferal vascular system in MDC 16";F;"0";T;F;"";2004/08/10;"";T
"16O01";"Transfusion of other blood components or aferes";F;"0";T;F;"";/  /;"";F
"16O02";"Transfusion of erythrocytes or whole blood";F;"0";T;F;"";/  /;"";F
"16S01";"Splenectomy";T;"1";T;F;"";1996/12/31;"Pernan poisto";T
"16S02";"Other OR procedure of the blood forming or immunological organs";T;"0";T;F;"";1996/12/31;"Muu vertamuodostuvien tai immunologisten elinten toimenpide";F
"16T01";"Special medical therapy for hematologic disorders";F;"0";T;F;"";2008/01/16;"";F
"16T02";"Demanding medical therapy for koagulation disorders";F;"0";T;F;"";/  /;"";T
"16T03";"Special demanding medical therapy for koagulation disorders";F;"0";T;F;"";/  /;"";F
"16V02";"Transfusion of other blood components";F;"0";T;F;"";/  /;"";F
"16V03";"Diagnostic test of koagulation";F;"0";T;F;"";/  /;"";T
"16V04";"Transfusion of erythrocytes or blood";F;"0";T;F;"";/  /;"";F
"17E01";"Endoscopy of respiratory organs for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E02";"Tracheo-bronchial endoscopy for myeloproliferative problems";T;"0";T;F;"17";2002/01/21;"";F
"17E03";"Endoscopy with stent insertion for myeloproliferative disease";F;"0";T;F;"17";2002/01/21;"";T
"17E04";"Therapeutic enteroscpy for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E05";"Therapeutic endoscopy of lower gastrointestinal tract for myeloprolife";F;"0";T;F;"17";2002/01/21;"";T
"17E06";"Other therapeutic endoscopy of upper gastrointestinal tract for myelop";T;"0";T;F;"17";2002/01/21;"";F
"17E07";"Therapeutic rectoscopy for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E08";"Endoscopic ultrasound examination for myeloproliferative disease";F;"0";T;F;"17";2002/01/21;"";T
"17E09";"Enteroscopy for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E10";"Colonoscopy for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E11";"Endoscopy of upper respiratory tract for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E12";"Rectosigmoideoscopy for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E13";"Endoscopic insertion of stent to biliary or pancreas for myeloprolifer";T;"0";T;F;"17";2002/01/21;"";F
"17E14";"Other therapeutic endoscopy of biliary tract for myeloproliferative disease";T;"0";T;F;"17";2005/01/17;"";F
"17E15";"Diagnostic endoscopy of biliary tract for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E16";"Therapeutic endoscopy of urinary tract for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E17";"Diagnostic endoscopy of upper urinary tract for myeloproliferative disease";T;"0";T;F;"17";2005/01/17;"";F
"17E18";"Endoscopy of lower urinary tract for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E19";"Endoscopy of female genital tract for myeloproliferative disease";T;"0";T;F;"17";2002/01/21;"";F
"17E20";"Endoscopic insertion of stent to respiratory tract";F;"0";T;F;"";/  /;"Stentin asettaminen hengitysteihin t‰hystyksess‰";F
"17O01";"Stem cell collection";F;"0";T;F;"";/  /;"";F
"17O02";"Aferesis";F;"0";T;F;"";/  /;"";F
"17O03";"Bone marrow aspiration or biopsy";F;"0";T;F;"";/  /;"";F
"17S01";"Major OR procedure in myeloproliferative diseases and disorders";T;"0";T;T;"";1996/12/31;"Myeloproliferatiivisen sairauden hoito, vaativa toimenpide";F
"17S02";"Endoscopy";F;"0";T;F;"";1996/12/31;"Endoskopia";F
"17S03";"Allogenic stem cell transplantation";T;"0";T;F;"";2004/05/30;"Allogeeninen kantasolusiirto";F
"17S04";"Other stem cell transplantation";T;"0";T;F;"";2004/05/30;"Muut kantasolusiirto";F
"17T01";"Special medical therapy of myeloproliferative diseases or neoplasms";F;"0";T;F;"";/  /;"";F
"17T02";"Demanding medical therapy of myeloproliferative diseases or neoplasms";F;"0";T;F;"";/  /;"";F
"17T03";"Special demanding medical therapy of myeloproliferative diseases or neoplasms";F;"0";T;F;"";/  /;"";F
"17T04";"Cytarabine, intrathecal";F;"0";T;F;"";/  /;"";F
"17T10";"Medication delivered for home use";F;"0";T;F;"";/  /;"";F
"17V01";"Major aferesis or blood cell separation";F;"0";T;F;"";/  /;"";F
"17V07";"Minor aferesis and blood cell separation";F;"0";T;F;"";2007/09/13;"";F
"17V08";"Bone or bonemarrow biopsy";F;"0";T;F;"";2013/10/02;"";F
"18T01";"Special medical therapy for infections";F;"0";T;F;"";2006/01/18;"";F
"18T02";"Demanding medical therapy for infections";F;"0";T;F;"";2006/01/18;"";F
"18T03";"Special demanding medical therapy for infections";F;"0";T;F;"";2006/01/18;"";F
"18T04";"Gansiklovir";F;"0";T;F;"";/  /;"";T
"18T05";"Special anfigungal agents";F;"0";T;F;"";/  /;"";T
"18T50";"Linetsolid";F;"0";T;F;"";/  /;"";T
"19O01";"Electroconvulsive therapy (ECT)";F;"0";T;F;"";/  /;"";F
"19O02";"Antidepressive fototherapy";F;"0";T;F;"";/  /;"";F
"19T01";"Special medical therapy for psychiatric problems";F;"0";T;F;"";/  /;"";F
"19V01";"Psychosocial examination";F;"0";T;F;"";/  /;"";T
"19V02";"Elelctroconvlulsive therapy";F;"0";T;F;"";/  /;"";F
"19V03";"Psychological training";F;"0";T;F;"";/  /;"";F
"19V04";"Antidepressive phototherapy";F;"0";T;F;"";2008/05/20;"";F
"19V05";"Psychotherapy";F;"0";T;F;"";/  /;"";F
"20S01";"Detoxification in alcohol or drug dependence";F;"0";T;F;"";1996/12/31;"Alkoholi- tai l‰‰kemyrkytyksen hoito";F
"20S02";"Rehabilitation in alcoholism or drug depence";F;"0";T;F;"";1996/12/31;"Kuntoutus alkoholin tai l‰‰kkeiden v‰‰rink‰ytˆss‰";T
"21D01";"Diagnostic procedure of head, neck and central nervous system for trauma";F;"0";T;F;"";2004/08/10;"";F
"21D02";"Demanding diagnostic procedure of head, neck and central nervous system for trauma";F;"0";T;F;"";2005/01/17;"";F
"21D21";"Diagnostic procedure of heart, large vessels and other intrathoracal organs for trauma";F;"0";T;F;"";2005/01/17;"";F
"21D22";"Demanding diagnostic procedure of heart, large vessels and other intratho";F;"0";T;F;"";2004/08/10;"";T
"21D31";"Diagnostic procedure of abdominal, retroperitoneal and pelvic organs for trauma";F;"0";T;F;"";2005/01/17;"";F
"21D32";"Demanding diagnostic procedure of abdominal, retroperitoneal and pelvic organs for trauma";F;"0";T;F;"";2005/01/17;"";F
"21D41";"Diagnostic procedure of musculosceletal system for trauma";F;"0";T;F;"";2004/08/10;"";F
"21D42";"Demanding diagnostic procedure of musculosceletal system for trauma";F;"0";T;F;"";2004/08/10;"";F
"21E02";"Tracheo-bronchial endoscopy for foreign body removal";T;"0";T;F;"21";2002/01/21;"";F
"21E03";"Esophagoscopy with insertion of stent for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E05";"Therapeutic endoscopy of lower gastrointestinal tract for trauma";F;"0";T;F;"21";2002/01/21;"";T
"21E06";"Therapeutic endoscopy of upper gastrointestinal tract for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E09";"Enteroscopy for trauma";F;"0";T;F;"21";2002/01/21;"";T
"21E10";"Colonoscopy for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E11";"Endoscopy of upper gastrointestinal tract for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E14";"Other therapeutic endoscopy of biliary tract for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E16";"Therapeutic endoscopy of urinary tract for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E17";"Diagnostic endoscopy of upper urinary tract for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E18";"Endoscopy of lower urinary tract for trauma";T;"0";T;F;"21";2002/01/21;"";F
"21E19";"Endoscopy of female genital tract for trauma";F;"0";T;F;"21";2002/01/21;"";T
"21E20";"Insertion of respiratory tract stent for trauma";F;"0";T;F;"";/  /;"Stentin asettamienen hengitysteihin vamman takia";F
"21S01";"Debridement procedure in traumatic wound";F;"0";T;F;"";2006/04/25;"Vamman aiheuttaman haavan tai haavauman revisio";T
"21S02";"Skin graft procedure for injuries";T;"0";T;F;"";1996/12/31;"Ihon siirto vamman hoidossa, ei palovamma";T
"21S03";"Hand procedure for injuries";T;"0";T;F;"";1996/12/31;"K‰den leikkaus, vamma";F
"21S04";"Craniotomy for trauma";T;"0";T;F;"";1996/12/31;"Kraniotomia vamman hoidossa";T
"21S05";"Limb reattachment or hip or femur procedure for trauma";T;"0";T;F;"";1996/12/31;"Raajan takaisinistutus tai lonkan tai reiden leikkaus vamman hoidossa";F
"21S09";"Other OR procedure for injuries";T;"0";T;T;"";1996/12/31;"Muu toimenpide vamman, myrkytyksen tai l‰‰kemyrkytyks";F
"21S20";"Late treatment of burn";T;"0";T;F;"";/  /;"Palovamman j‰lkihoito";T
"21S21";"Plastic procedures of hand with transplantation";F;"0";T;F;"21";2003/09/11;"K‰den kudossiirtoleikkaukset";T
"21S30";"Reconstruction or reimplantation of hand or fingers";F;"0";T;F;"";2000/11/20;"K‰den tai sormien takaisinistutus tai rekonstruktio";T
"21V01";"Forensic examination";F;"0";T;F;"";/  /;"";F
"22E03";"Esophagoscopy with insertion of stent for treatment of burn";T;"0";T;F;"22";2002/01/21;"";F
"22E06";"Therapeutic endoscopy of upper gastrointestinal tract for treatment of burn";T;"0";T;F;"22";2005/01/17;"";F
"22E11";"Endoscopy of upper gastrointestinal tract for treatment of burn";T;"0";T;F;"22";2002/01/21;"";F
"22S01";"Skin graft procedure for burns";T;"0";T;F;"";1996/12/31;"Ihon siirto palovamman hoidossa";F
"22S02";"Wound debridement or other OR procedure for burns";T;"0";T;F;"";1996/12/31;"Ihon revisio tai muu toimenpide palovamman hoidossa";F
"23O01";"Rehabilitation or therapy";F;"0";T;F;"";/  /;"";F
"23O02";"Medicolegal examination";F;"0";T;F;"";/  /;"";F
"23O03";"High intensity therapy";F;"0";T;F;"";/  /;"";T
"23O04";"Implantation of pumping device";F;"0";T;F;"";/  /;"";F
"23T01";"Demanding medication of pain";F;"0";T;F;"";/  /;"";T
"30D71";"Diagnostic procedure of breast in MDC 30";F;"0";T;F;"";2004/08/10;"";F
"30D72";"Demanding diagnostic procedure of breast in MDC 30";F;"0";T;F;"";2004/08/10;"";F
"30O01";"Incision or puncture of breast";F;"0";T;F;"";/  /;"";F
"30S03";"Total mastectomy or breast reconstruction";T;"1";T;T;"";2003/05/16;"Rintarauhasen poisto tai uudelleenmuovaus kokonaan";T
"30S04";"Partial mastectomy or other breast procedure";T;"0";T;T;"";2003/05/16;"Rintarauhasen osittainen poisto tai muu rintaleikkaus";T
"30S05";"Breast biopsy or local excision";T;"0";T;T;"";2003/05/16;"Rintarauhasen biopsia tai paikallisen muutoksen poisto";F
"30S11";"Total reconstruction of breast";T;"1";T;F;"09";2003/09/11;"Rintarauhasen uudelleen muodostaminen";T
"30S12";"Reduction mammoplasty";F;"0";T;F;"30";/  /;"Rintojen pienennys";T
"30S99";"Other breast procedure";T;"0";T;F;"";2003/05/16;"Muu rinnan sairauden toimenpide";F
"30V01";"Incision and puncture of breast";F;"0";T;F;"";/  /;"";F
"40V01";"Intesive care intervention";F;"0";T;F;"";/  /;"";F
"40V02";"Observation at intensive care unit";F;"0";T;F;"";2008/10/21;"";F
"40V04";"Implantation of pumping device or injection gate";F;"0";T;F;"";/  /;"";F
"40V06";"Major check-up of current therapy";F;"0";T;F;"";/  /;"";T
"40V07";"Provocation test for allergy";F;"0";T;F;"";2008/05/20;"";T
"40V08";"Occupational and environmental examination";F;"0";T;F;"";/  /;"";T
"40V10";"Occupational and environmental mesurement";F;"0";F;F;"";2013/04/29;"";T
"40V11";"Cannulation and cathetrisation of vein";F;"0";T;F;"";/  /;"";F
"40V12";"Rinsing or removal of drainage";F;"0";T;F;"";/  /;"";F
"40V13";"Major examination of body composition";F;"0";T;F;"";/  /;"";F
"40V14";"Ultrasonography";F;"0";T;F;"";/  /;"";F
"40V15";"Allergy and immunedeficiency examination";F;"0";T;F;"";/  /;"";T
"40V18";"Check-up of patient with ongoing therapy";F;"0";T;F;"";/  /;"";T
"40V19";"Discussion and counceling";F;"0";T;F;"";/  /;"";T
"40V20";"Intravascular medication";F;"0";T;F;"";/  /;"";F
"40V21";"Information and education";F;"0";T;F;"";2007/10/23;"";F
"40V22";"Picture and voice recording";F;"0";T;F;"";/  /;"";F
"40V23";"Pain test";F;"0";T;F;"";/  /;"";T
"40V24";"Medication pump";F;"0";T;F;"";/  /;"";F
"40V25";"Other major intervention for medication";F;"0";T;F;"";/  /;"";F
"40V26";"Arterial cathetrisation";F;"0";T;F;"";/  /;"";F
"40V27";"Minor intervention for medication";F;"0";T;F;"";/  /;"";F
"40V28";"Other minor intervention";F;"0";T;F;"";/  /;"";F
"40V29";"Minor examination of body composition";F;"0";T;F;"";/  /;"";T
"40V30";"Observation";F;"0";T;F;"";/  /;"";T
"40V31";"Checkup and maintenance of stomy";F;"0";T;F;"";/  /;"";F
"40V32";"Logopedic therapy";F;"0";T;F;"";/  /;"";T
"40V33";"Examination of communication, voice and speech";F;"0";T;F;"";/  /;"";T
"40V34";"Oedema therapy";F;"0";T;F;"";/  /;"";F
"40V35";"Neuromuscular diagnostic and therapeutic intervention";F;"0";T;F;"";/  /;"";F
"40V36";"Medical aid interventions";F;"0";T;F;"";/  /;"";F
"40V37";"Prosthesis testing and check-up";F;"0";T;F;"";/  /;"";F
"40V38";"Motor function training";F;"0";T;F;"";/  /;"";F
"40V39";"Administration of care";F;"0";T;F;"";/  /;"";F
"40V40";"Bio-feedback";F;"0";T;F;"";/  /;"";F
"40V41";"Physiologic and fuktional examination";F;"0";T;F;"";/  /;"";T
"40V42";"Letter or telephone contact";F;"0";T;F;"";/  /;"";F
"40V44";"Diagnostic and therapeutic use of light";F;"0";T;F;"";2008/05/20;"";F
"40V45";"Major radiotherapy";F;"0";T;F;"";/  /;"";T
"40V46";"Brachytherapy and isotope therapy";F;"0";T;F;"";/  /;"";F
"40V47";"Minor radiotherapy";F;"0";T;F;"";/  /;"";F
"40V48";"Preparation for radiotherapy";F;"0";T;F;"";/  /;"";F
"40V49";"Consultation with relatives";F;"0";T;F;"";/  /;"";T
"40V50";"Isotope examination";F;"0";T;F;"";/  /;"";F
"40V51";"Pain analysis";F;"0";T;F;"";2008/05/20;"";T
"40V52";"Pharmacological pain test";F;"0";T;F;"";2008/05/20;"";T
"40V53";"Sensory test";F;"0";T;F;"";2008/05/20;"";T
"40V54";"Sensory stimulation";F;"0";T;F;"";2008/05/20;"";F
"90D01";"Diagnostic proc of head, neck and central nerv syst for malignancy";F;"0";T;F;"";2005/01/17;"";F
"90D02";"Demanding diagnostic proc of head, neck and central nerv syst for malignancy";F;"0";T;F;"";2005/01/17;"";F
"90D11";"Diagnostic procedure of endocrine organs for malignancy";F;"0";T;F;"";2004/08/10;"";T
"90D21";"Diagnostic proc of heart, large vessels and other intrathoracal organs for malignancy";F;"0";T;F;"";2005/01/17;"";F
"90D22";"Demanding diagn proc of heart, large vessels and other intrathoracal organs for malignancy";F;"0";T;F;"";2005/01/17;"";F
"90D31";"Diagnostic proc of abdominal, retroperitoneal and pelvic organs for malignancy";F;"0";T;F;"";2005/01/17;"";F
"90D32";"Demanding diagnostic proc of abdominal, retroperitoneal and pelvic organs for malignancy";F;"0";T;F;"";2005/01/17;"";F
"90D41";"Diagnostic procedure of musculosceletal system for malignancy";F;"0";T;F;"";2004/08/10;"";F
"90D42";"Demanding diagnostic procedure of musculosceletal system for malignancy";F;"0";T;F;"";2004/08/10;"";F
"90D61";"Diagnostic procedure of periferal vascular system for malignancy";F;"0";T;F;"";2004/08/10;"";F
"90D62";"Demanding diagnostic proc of periferal vascular system for malignancy";F;"0";T;F;"";2005/01/17;"";F
"90D64";"Diagnostic procedure of lymfatic system for malignancy";F;"0";T;F;"";2004/08/10;"";F
"90D91";"Dose design for radiotherapy of malignancy";F;"0";T;F;"";/  /;"";F
"90D92";"Demanding dose design for radiotherapy of malignancy";F;"0";T;F;"";2004/08/10;"";F
"90O01";"Acute intensive care";F;"0";T;F;"";/  /;"";F
"90O02";"Allergy test";F;"0";T;F;"";2007/11/13;"";T
"90O03";"Hypebar oxygen therapy";F;"0";T;F;"";/  /;"";T
"90O10";"Specific biological drug treatment";F;"0";T;F;"";2009/07/06;"";T
"90S01";"Parenteral administration";F;"0";T;F;"";/  /;"";F
"90S02";"Intravenous administration";F;"0";T;F;"";/  /;"";F
"90S03";"Intravesical administraiton";F;"0";T;F;"";/  /;"";F
"90S04";"Intramuscular, subcutaneous or other special route";F;"0";T;F;"";2008/01/15;"";F
"90S05";"Intrathecal";F;"0";T;F;"";/  /;"";F
"90S06";"Inhalation";F;"0";T;F;"";/  /;"";T
"90T01";"Cytostatic drug";F;"0";T;F;"";/  /;"";F
"90T02";"Complex cytostatic drug";F;"0";T;F;"";/  /;"";F
"90T03";"Complex cytostatic therapy";F;"0";T;F;"";/  /;"";F
"90T05";"Radiotherapy";F;"0";T;F;"17";/  /;"S‰dehoito";F
"90T06";"Radiotherapy with large shaped fields";F;"0";T;F;"";/  /;"";T
"90T07";"Stereotactic radiotherapy or demanding isotope therapy";F;"0";T;F;"";/  /;"";F
"90T08";"Special demanding isotope therapy";F;"0";T;F;"";/  /;"";F
"90T10";"Planning for radiotherapy - complexity level 0";F;"0";T;F;"";2013/05/21;"";F
"90T11";"Planning for radiotherapy - complexity level 1";F;"0";T;F;"";2013/10/24;"";F
"90T12";"Planning for radiotherapy - complexity level 2";F;"0";T;F;"";2013/10/24;"";F
"90T13";"Planning for radiotherapy - complexity level 3";F;"0";T;F;"";2013/10/24;"";T
"90T14";"Planning for radiotherapy - complexity level 4";F;"0";T;F;"";2013/10/24;"";F
"90T15";"Planning for radiotherapy - complexity level 4";F;"0";F;F;"";2013/10/24;"";T
"90W00";"Medical doctor";F;"0";T;F;"";/  /;"L‰‰k‰ri";F
"90W10";"Nurse";F;"0";T;F;"";/  /;"Hoitajak‰ynti";T
"90W20";"Other special worker";F;"0";T;F;"";/  /;"Muu erityistyˆntekij‰k‰ynti";T
"90W30";"Indirect patient contact";F;"0";T;F;"";/  /;"";T
"91W00";"Special observation";F;"0";T;F;"";2005/10/06;"";T
"91W10";"Team care";F;"0";T;F;"";/  /;"";F
"91W20";"Treating group of patients";F;"0";T;F;"";/  /;"";F
"99O01";"Minor procedure on nervous system";F;"0";T;F;"99";2002/01/21;"";F
"99O02";"Minor procedure on eye and surrounding";F;"0";T;F;"99";2002/01/21;"";F
"99O03";"Minor procedure on ear, nose, mouth and throat";F;"0";T;F;"99";2002/01/21;"";F
"99O04";"Minor procedure on respiratory organs";F;"0";T;F;"99";2002/01/21;"";F
"99O05";"Minor procedure on circulatory system";F;"0";T;F;"99";2002/01/21;"";F
"99O06";"Minor procedure on gastrointestinal system and abdomen";F;"0";T;F;"99";2002/01/21;"";F
"99O07";"Minor procedure on liver, biliary system and pancreas";F;"0";T;F;"99";2002/01/21;"";F
"99O08";"Minor procedure on musculosceletal system";F;"0";T;F;"99";2002/01/21;"";F
"99O09";"Minor procedure on skin and subcutaneous tissue";F;"0";T;F;"99";2004/09/30;"";F
"99O10";"Minor procedure on endocrine diseases";F;"0";T;F;"99";2002/01/21;"";F
"99O11";"Minor procedure on kidney and urinary system";F;"0";T;F;"99";2002/01/21;"";F
"99O12";"Minor procedure on male genitourinary system";F;"0";T;F;"99";2002/01/21;"";F
"99O13";"Minor procedure on female genital tract";F;"0";T;F;"99";2002/01/21;"";F
"99O14";"Minor procedure for pregnancy and delivery";F;"0";T;F;"99";2002/01/21;"";F
"99O16";"Minor procedure for diseases of blood and blood forming organs";F;"0";T;F;"99";2002/01/21;"";F
"99O18";"Minor procedure for infectious diseases";F;"0";T;F;"99";2002/01/21;"";T
"99O19";"Minor procedure for psychic disorders";F;"0";F;F;"99";2002/01/21;"";F
"99O19";"Minor procedure in psychiatric care";F;"0";T;F;"19";/  /;"Psykiatrinen pientoimenpide";T
"99O30";"Minor procedure on breast";F;"0";T;F;"30";2002/04/04;"Rinnan pientoimenpide";F
"99O99";"Outpatient procedure";F;"0";T;F;"";/  /;"Polikliininen tp";F
"99S01";"Prostatic OR procedure";T;"0";T;F;"12";1996/12/31;"Prostatan leikkaus";F
"99S10";"Secondary repair operation";T;"0";T;F;"";/  /;"Sekundaarinen korjausleikkaus";T
"99S11";"General anesthesy";T;"0";T;F;"";/  /;"Yleisanestesia";T
"99S12";"Urgent procedure";T;"0";T;F;"";2003/09/09;"P‰ivystystoimenpide";T
"99S13";"Bilateral procedure";T;"0";F;F;"";2012/10/03;"Toimenpide tehd‰‰n molemmille puolille";T
"99S61";"Demanding hormone therapy";T;"0";T;F;"";/  /;"";T
"99S71";"Demanding biomodifier therapy";T;"0";T;F;"10";2003/09/11;"Vaativa hoito biovasteenmuuntajilla";T
"99S80";"Standard cytostatic therapy";T;"0";T;F;"";2003/09/11;"Tavallinen sytostaattihoito";T
"99S81";"Special cytostatic therapy";T;"0";T;F;"";2003/09/11;"Erityistason sytostaattihoito";T
"99S82";"Demanding special cytostatic therapy";T;"0";T;F;"";/  /;"Vaativa erityistason sytostaaattihoito";T
"99S89";"Simple cytostatic therapy";T;"0";T;F;"";/  /;"Yksinkertainen sytostaattihoito";T
"99S90";"Extensive procedure - list created during the exporting process";T;" ";T;F;"";/  /;"";F
"99T00";"Complex medication, unspecified";F;"0";T;F;"";2012/01/26;"";F
"99V02";"Major supporting procedure for dialysis";F;"0";T;F;"";/  /;"";F
"99V20";"Outpatient visit";F;"0";T;F;"";/  /;"";T
"99V21";"Group of patients";F;"0";T;F;"";/  /;"";F
"99V22";"Team of care providors";F;"0";T;F;"";/  /;"";F
"99V30";"Occupational therapist";F;"0";T;F;"";/  /;"";T
"99V31";"Audiotherapist";F;"0";T;F;"";/  /;"";T
"99V32";"Dietician";F;"0";T;F;"";/  /;"";T
"99V33";"Social worker";F;"0";T;F;"";/  /;"";T
"99V34";"Logotherapist";F;"0";T;F;"";/  /;"";T
"99V35";"Medical doctor";F;"0";T;F;"";/  /;"";F
"99V36";"Orthopist";F;"0";T;F;"";/  /;"";T
"99V37";"Psychologist";F;"0";T;F;"";/  /;"";T
"99V38";"Physiotherapist";F;"0";T;F;"";/  /;"";T
"99V39";"Nurse";F;"0";T;F;"";/  /;"";T
"99V40";"Psychiatric nurse";F;"0";T;F;"";2008/05/20;"";T
"99V41";"Nursing asssistant";F;"0";T;F;"";/  /;"";T
"99V42";"Other care worker";F;"0";T;F;"";/  /;"";T
"99V43";"Midwife";F;"0";T;F;"";2012/10/12;"";T
