"";"";"";"";F;2012/06/29;""
"347D";"12";"Malignancy, male reprocuctive system, w/o cc, cytostatic therapy";"Malignancy, male reprocuctive system, w/o cc, cytostatic the";F;2006/01/15;"347D"
"347E";"12";"Malignancy, male reprocuctive system, w/o cc, demanding cytostatic therapy";"Malignancy, male reprocuctive system, w/o cc, demanding cyto";F;2006/01/15;"347E"
"347F";"12";"Malignancy, male reprocuctive system, w/o cc, special demanding cytostatic therapy";"Male repr syst malign w/o cc, spec dem cytost ther";F;2006/01/15;"347F"
"347G";"12";"Malignancy, male reprocuctive system, w/o cc";"Malignancy, male reprocuctive system, w/o cc";F;2006/01/15;"347G"
"347O";"12";"Malignancy, male reprocuctive system, short therapy";"Malignancy, male reprocuctive system, short therapy";F;2009/06/03;"347O"
"347X";"12";"Malignancy, male reprocuctive system, w/o cc";"Malignancy, male reprocuctive system, w/o cc";T;1996/12/31;"347"
"348X";"12";"Benign prostatic hypertrophy w cc";"Benign prostatic hypertrophy w cc";T;1996/12/31;"348"
"349N";"12";"Benign prostatic hypertrophy";"Benign prostatic hypertrophy";F;2010/03/05;"349N"
"349X";"12";"Benign prostatic hypertrophy w/o cc";"Benign prostatic hypertrophy w/o cc";T;1996/12/31;"349"
"350C";"12";"Inflammation of the male reproductive system w cc";"Inflammation of the male reproductive system w cc";F;2010/03/05;"350C"
"350N";"12";"Inflammation of the male reproductive system w/o cc";"Inflammation of the male reproductive system w/o cc";F;2010/03/05;"350N"
"350X";"12";"Inflammation of the male reproductive system";"Inflammation of the male reproductive system";T;1996/12/31;"350"
"351O";"12";"Sterilization, male , short therapy";"Sterilization, male , short therapy";T;2008/04/13;"351O"
"351X";"12";"Sterilization, male";"Sterilization, male";T;1996/12/31;"351"
"352X";"12";"Other male reproductive system diagnoses";"Other male reproductive system diagnoses";T;1996/12/31;"352"
"353C";"13";"Pelvic evisceration, radical hysterectomy & radical vulvectomy w cc";"Pelvic evisceration, radical hysterectomy & radical vulvecto";F;2010/03/08;"353C"
"353M";"13";"Pelvic evisceration, radical hysterectomy & radical vulvectomy w mcc";"Pelvic evisceration, radical hysterectomy & radical vulvecto";F;2010/03/08;"353M"
"353N";"13";"Pelvic evisceration, radical hysterectomy & radical vulvectomy w/o cc";"Pelvic evisceration, radical hysterectomy & radical vulvecto";F;2010/03/05;"353N"
"353O";"13";"Pelvic evisceration, radical hysterectomy & radical vulvectomy, short therapy";"Pelvic evisceration, radical hysterectomy & radical vulvecto";T;2003/05/26;"353O"
"353X";"13";"Pelvic evisceration, radical hysterectomy & radical vulvectomy";"Pelvic evisceration, radical hysterectomy & radical vulvecto";T;1996/12/31;"353"
"354C";"13";"Uterine, adnexa proc for non-ovarian/adnexal malig w cc";"Uterine, adnexa proc for non-ovarian/adnexal malig w cc";F;2010/03/08;"354C"
"354M";"13";"Uterine, adnexa proc for non-ovarian/adnexal malig w mcc";"Uterine, adnexa proc for non-ovarian/adnexal malig w mcc";F;2010/03/08;"354M"
"354X";"13";"Uterine, adnexa proc for non-ovarian/adnexal malig w cc";"Uterine, adnexa proc for non-ovarian/adnexal malig w cc";T;1996/12/31;"354"
"355O";"13";"Uterine and adnexal procedures for non-ovarian/adnexal malignancy, short therapy";"Uterine and adnexal procedures for non-ovarian/adnexal malig";T;2003/05/26;"355O"
"355X";"13";"Uterine, adnexa proc for non-ovarian/adnexal malig w/o cc";"Uterine, adnexa proc for non-ovarian/adnexal malig w/o cc";T;1996/12/31;"355"
"356O";"13";"Female reproductive system reconstructive procedure, short therapy";"Female reprod syst reconstr proc, sh th";T;2003/06/25;"356O"
"356X";"13";"Female reproductive system reconstructive procedure";"Female reprod syst reconstr proc";T;2003/06/25;"356"
"357C";"13";"Uterine & adnexa proc for ovarian or adnexal malignancy w cc";"Uterine & adnexa proc for ovarian or adnexal malignancy w cc";F;2010/03/08;"357C"
"357M";"13";"Uterine & adnexa proc for ovarian or adnexal malignancy w mcc";"Uterine & adn proc for ovarian or adnexal malignancy w mcc";F;2010/03/08;"357M"
"357N";"13";"Uterine & adnexa proc for ovarian or adnexal malignancy";"Uterine & adnexa proc for ovarian or adnexal malignancy";F;2010/03/08;"357N"
"357O";"13";"Uterine & adnexa proc for ovarian or adnexal non-malignancy, short therapy";"Uterine & adnexa proc for ovarian or adnexal non-malignancy,";T;2003/05/26;"357O"
"357X";"13";"Uterine & adnexa proc for ovarian or adnexal malignancy";"Uterine & adnexa proc for ovarian or adnexal malignancy";T;1996/12/31;"357"
"358C";"13";"Uterine & adnexa proc for ovarian or adnexal non-malignancy w cc";"Uterine & adn proc for ovar or adn non-malignancy w cc";F;2010/03/08;"358C"
"358M";"13";"Uterine & adnexa proc for ovarian or adnexal non-malignancy w mcc";"Uterine & adn proc for ovar or adn non-malignancy w mcc";F;2011/02/07;"358M"
"358X";"13";"Uterine & adnexa proc for ovarian or adnexal non-malignancy w cc";"Uterine & adnexa proc for ovarian or adnexal non-malignancy";T;1996/12/31;"358"
"359A";"13";"Uterine & adnexal procedures for ovarian or adnexal non-malignancy w/o cc, age 0-17 yrs";"Uter & adn proc for ovari or adnl non-malign w/o cc, 0-17";F;2003/10/10;"359A"
"359B";"13";"Uterine & adnexal procedures for ovarian or adnexal non-malignancy w/o cc, age >17 yrs";"Uter & adn proc for ovari or adnl non-malign w/o cc, >17";F;2003/10/10;"359B"
"359O";"13";"Uterine and adnexal procedures for non-ovarian/adnexal malignancy, short therapy";"Uterine and adnexal procedures for non-ovarian/adnexal malig";T;2003/05/26;"359O"
"359X";"13";"Uterine & adnexa proc for ovarian or adnexal non-malignancy w/o cc";"Uterine & adnexa proc for ovarian or adnexal non-malignancy";T;1996/12/31;"359"
"360C";"13";"Vagina, cervix & vulva procedures w cc";"Vagina, cervix & vulva procedures w cc";F;2010/03/08;"360C"
"360N";"13";"Vagina, cervix & vulva procedures";"Vagina, cervix & vulva procedures";F;2010/03/08;"360N"
"360O";"13";"Vagina, cervix & vulva procedures , short therapy";"Vagina, cervix & vulva procedures , short therapy";T;2003/05/26;"360O"
"360X";"13";"Vagina, cervix & vulva procedures";"Vagina, cervix & vulva procedures";T;1996/12/31;"360"
"361C";"13";"Gynecological laparoscopy or sterilization in laparatomy w cc";"Gyn laparoscopy or sterilization in laparatomy w cc";F;2010/03/08;"361C"
"361N";"13";"Gynecological laparoscopy or sterilization in laparatomy";"Gynecological laparoscopy or sterilization in laparatomy";F;2010/03/08;"361N"
"361O";"13";"Gynecological laparoscopy or  sterilization in laparatomy, short therapy";"Gynecol laparosc or ster in laparatomy, sh th";T;2003/06/25;"361O"
"361X";"13";"Gynecological laparoscopy or sterilization in laparatomy";"Gynecological laparoscopy or sterilization in laparatomy";T;1997/12/07;"361"
"362O";"13";"Laparoscopic or other endoscopic sterilization, short therapy";"Laparoscopic or other endoscopic sterilization, short therap";T;2003/05/26;"362O"
"362X";"13";"Laparoscopic or other endoscopic sterilization";"Laparoscopic or other endoscopic sterilization";T;1997/12/07;"362"
"363C";"13";"D&c, conization & radio-implant, for malignancy w cc";"D&c, conization & radio-implant, for malignancy w cc";F;2010/03/08;"363C"
"363N";"13";"D&c, conization & radio-implant, for malignancy";"D&c, conization & radio-implant, for malignancy";F;2010/03/08;"363N"
"363X";"13";"D&c, conization & radio-implant, for malignancy";"D&c, conization & radio-implant, for malignancy";T;1996/12/31;"363"
"364C";"13";"D&c, conization, for non-malignancy w cc";"D&c, conization, for non-malignancy w cc";F;2010/03/08;"364C"
"364N";"13";"D&c, conization, for non-malignancy";"D&c, conization, for non-malignancy";F;2010/03/08;"364N"
"364O";"13";"D&c, conization, for non-malignancy , short therapy";"D&c, conization, for non-malignancy , short therapy";T;2003/05/26;"364O"
"364X";"13";"D&c, conization, for non-malignancy";"D&c, conization, for non-malignancy";T;1996/12/31;"364"
"365A";"13";"Explorative laparatomy in gynecology";"Explorative laparatomy in gynecology";F;2003/09/11;"365A"
"365B";"13";"Other female reproductive system o. r. procedures";"Other female reproductive system o. r. procedures";F;1996/12/31;"365B"
"365C";"13";"Other female reproductive system o. r. procedures w cc";"Other female reproductive system o. r. procedures w cc";F;2010/03/08;"365C"
"365N";"13";"Other female reproductive system o. r. procedures";"Other female reproductive system o. r. procedures";F;2010/03/08;"365N"
"365O";"13";"Other female reproductive system o. r. procedures, short therapy";"Other female reproductive system o. r. procedures, short the";T;2003/05/26;"365O"
"365X";"13";"Other female reproductive system o. r. procedures";"Other female reproductive system o. r. procedures";T;1996/12/31;"365"
"366C";"13";"Malignancy, female reproductive  system w cc";"Malignancy, female reproductive  system w cc";F;2010/03/08;"366C"
"366M";"13";"Malignancy, female reproductive  system w mcc";"Malignancy, female reproductive  system w mcc";F;2010/05/19;"366M"
"366X";"13";"Malignancy, female reproductive  system w cc";"Malignancy, female reproductive  system w cc";T;1996/12/31;"366"
"367A";"13";"Radiotherapy for malignancy of female reproductive  system w/o cc";"Radioth for malign of fema reprod  syst w/o cc";F;2003/09/11;"367A"
"367B";"13";"Standard cytostatic therapy for recidive of malignancy in female reproductive  system w/o cc";"Stand cytost ther for recid of mal in fem repr syst w/o cc";F;2003/09/11;"367B"
"367C";"13";"Special cytostatic therapy of malignancy in female reproductive  system w/o cc";"Spec cytost ther of mal in fem repr syst w/o cc";F;2003/09/11;"367C"
"367D";"13";"Special demanding cytostatic therapy of malignancy in female reproductive  system w/o cc";"Spec demand cytost ther of mal in fem repr syst w/o cc";F;2003/09/11;"367D"
"367E";"13";"Malignancy, female reproductive  system w/o cc";"Malignancy, female reproductive  system w/o cc";F;2007/11/13;"367E"
"367O";"13";"Malignancy, female reproductive  system, short therapy";"Malignancy, female reproductive  system, short therapy";F;2009/06/03;"367O"
"367X";"13";"Malignancy, female reproductive  system w/o cc";"Malignancy, female reproductive  system w/o cc";T;1997/11/11;"367"
"368A";"13";"Infections, female reproductive system, age 0-17 yrs";"Infections, female reproductive system, age 0-17 yrs";F;2003/10/10;"368A"
"368B";"13";"Infections, female reproductive system, age >17 yrs";"Infections, female reproductive system, age >17 yrs";F;2003/10/10;"368B"
"368C";"13";"Infections, female reproductive system w cc";"Infections, female reproductive system w cc";F;2010/03/08;"368C"
"368N";"13";"Infections, female reproductive system";"Infections, female reproductive system";F;2010/03/08;"368N"
"368X";"13";"Infections, female reproductive system";"Infections, female reproductive system";T;1996/12/31;"368"
"369C";"13";"Menstrual & other female reproductive system disorders w cc";"Menstrual & other female reproductive system disorders w cc";F;2010/03/08;"369C"
"369N";"13";"Menstrual & other female reproductive system disorders";"Menstrual & other female reproductive system disorders";F;2010/03/08;"369N"
"369P";"98";"Infertility, short therapy";"Infertility, short therapy";F;2009/06/03;"369P"
"369X";"13";"Menstrual & other female reproductive system disorders";"Menstrual & other female reproductive system disorders";T;1996/12/31;"369"
"370A";"14";"Cesarean section, w cc, prolonged care";"Cesarean section, w cc, prolonged care";F;2000/11/22;"370A"
"370B";"14";"Cesarean section w cc";"Cesarean section w cc";F;2000/11/22;"370B"
"370C";"14";"Cesarean section w cc";"Cesarean section w cc";F;2010/03/08;"370C"
"370M";"14";"Cesarean section w mcc";"Cesarean section w mcc";F;2010/05/12;"370M"
"370X";"14";"Cesarean section w cc";"Cesarean section w cc";T;1996/12/31;"370"
"371A";"14";"Cesarean section w/o cc, prolonged care";"Cesarean section w/o cc, prolonged care";F;2000/11/23;"371A"
"371B";"14";"Cesarean section w/o cc";"Cesarean section w/o cc";F;2000/11/23;"371B"
"371O";"14";"Cesarean section, short therapy";"Cesarean section, short therapy";T;2006/05/23;"371O"
"371X";"14";"Cesarean section w/o cc";"Cesarean section w/o cc";T;2004/04/19;"371"
"372A";"14";"Vaginal delivery w prolonged care";"Vaginal delivery w prolonged care";F;2000/11/22;"372A"
"372B";"14";"Vaginal delivery w complicating diagnoses";"Vaginal delivery w complicating diagnoses";F;2000/11/22;"372B"
"372C";"14";"Vaginal delivery w complicating diagnoses";"Vaginal delivery w complicating diagnoses";F;2010/03/08;"372C"
"372M";"14";"Vaginal delivery w mcc";"Vaginal delivery w mcc";F;2010/03/08;"372M"
"372X";"14";"Vaginal delivery w complicating diagnoses";"Vaginal delivery w complicating diagnoses";T;1996/12/31;"372"
"373O";"14";"Vaginal delivery, short therapy";"Vaginal delivery, short therapy";T;2003/05/23;"373O"
"373X";"14";"Vaginal delivery w/o complicating diagnoses";"Vaginal delivery w/o complicating diagnoses";T;2003/05/28;"373"
"374X";"14";"Vaginal delivery w sterilization &/or d&c";"Vaginal delivery w sterilization &/or d&c";T;2003/05/28;"374"
"375O";"14";"Vaginal delivery w associated procedure, short therapy";"Vaginal delivery w associated procedure, short therapy";F;2013/04/26;"375O"
"375X";"14";"Vaginal delivery w o. r. proc except steril &/or d&c";"Vaginal delivery w o. r. proc except steril &/or d&c";T;1996/12/31;"375"
"376C";"14";"Postpartum & post abortion diagnoses w/o o. r. procedure w cc";"Postpart & post abort diagnoses w/o o. r. procedure w cc";F;2010/03/08;"376C"
"376M";"14";"Postpartum & post abortion diagnoses w/o o. r. procedure w mcc";"Postpart & post abort diagnoses w/o o. r. procedure w mcc";F;2010/03/08;"376M"
"376N";"14";"Postpartum & post abortion diagnoses w/o o. r. procedure";"Postpartum & post abortion diagnoses w/o o. r. procedure";F;2010/03/08;"376N"
"376X";"14";"Postpartum & post abortion diagnoses w/o o. r. procedure";"Postpartum & post abortion diagnoses w/o o. r. procedure";T;1996/12/31;"376"
"377N";"14";"Obstetrical problem with other OR procedure";"Obstetrical problem with other OR procedure";T;2012/02/01;"377N"
"377O";"14";"Postpartum & post abortion diagnoses w o. r. procedure, short therapy";"Postpartum & post abortion diagnoses w o. r. procedure, shor";T;2003/05/26;"377O"
"377X";"14";"Obstetrical problem with other OR procedure";"Obstetrical problem with other OR procedure";F;2009/03/25;"377"
"378N";"14";"Operation for ectopic pregnancy";"Operation for ectopic pregnancy";T;2005/04/29;"378N"
"378O";"14";"Procedures for ectopic pregnancy, short therapy";"Procedures for ectopic pregnancy, short therapy";F;2013/04/26;"378O"
"378X";"14";"Ectopic pregnancy";"Ectopic pregnancy";F;2004/06/10;"378"
"379C";"14";"Threatend abortion w cc";"Threatend abortion w cc";F;2010/03/08;"379C"
"379N";"14";"Threatend abortion";"Threatend abortion";F;2010/03/08;"379N"
"379X";"14";"Threatend abortion";"Threatend abortion";T;1996/12/31;"379"
"380C";"14";"Abortion w/o d&c w cc";"Abortion w/o d&c w cc";F;2010/05/12;"380C"
"380N";"14";"Abortion w/o d&c";"Abortion w/o d&c";F;2010/03/08;"380N"
"380X";"14";"Abortion w/o d&c";"Abortion w/o d&c";T;1996/12/31;"380"
"381C";"14";"Abortion w d&c, aspiration curettage or hysterotomy w cc";"Abortion w d&c, aspiration curettage or hysterotomy w cc";F;2010/03/08;"381C"
"381N";"14";"Abortion w d&c, aspiration curettage or hysterotomy";"Abortion w d&c, aspiration curettage or hysterotomy";F;2010/03/08;"381N"
"381O";"14";"Abortion, short therapy";"Abortion, short therapy";T;2003/05/23;"381O"
"381X";"14";"Abortion w d&c, aspiration curettage or hysterotomy";"Abortion w d&c, aspiration curettage or hysterotomy";T;1996/12/31;"381"
"382X";"14";"False labor";"False labor";T;1996/12/31;"382"
"383C";"14";"Other antepartum diagnoses w medical complications w cc";"Other antepartum diagnoses w medical complications w cc";F;2010/03/08;"383C"
"383N";"14";"Other antepartum diagnoses w medical complications w/o cc";"Other antepartum diagnoses w medical complications w/o cc";F;2010/03/08;"383N"
"383X";"14";"Other antepartum diagnoses w medical complications";"Other antepartum diagnoses w medical complications";T;1996/12/31;"383"
"384C";"14";"Other antepartum diagnoses w cc";"Other antepartum diagnoses w cc";F;2010/03/08;"384C"
"384N";"14";"Other antepartum diagnoses w/o medical complications";"Other antepartum diagnoses w/o medical complications";F;2010/03/08;"384N"
"384X";"14";"Other antepartum diagnoses w/o medical complications";"Other antepartum diagnoses w/o medical complications";T;1996/12/31;"384"
"385A";"15";"Neonate, died within 2 days or transferred to other unit within 5 days";"Neonate, died within 2 days or transferred to other unit wit";T;2000/04/26;"385A"
"385B";"15";"Follow-up care of neonatal problems or delayed neonatal problem, birth weight 1000 g or more";"Follow-up care of neonatal problems or delayed neonatal prob";T;2013/04/26;"385B"
"385C";"15";"Neonate, arrived during first two days of life, not treated in a NICU, remitted to other hospital with duration of treatment less than 5 days";"Neonate, arrived during first two days of life, not treated";T;1998/11/23;"385C"
"385C";"15";"Follow-up care of neonates with birth weight less than 1000 g";"Follow-up care of neonates with birth weight less than 1000";F;2013/04/26;""
"385D";"15";"Neonate, arrived after first days of life, not treated in a NICU, remitted to other hospital with duration of treatment less than 5 days";"Neonate, arrived after first days of life, not treated in a";F;1998/11/23;"385D"
"385X";"15";"Neonate, arrived within first two days of life or transferrer to another hospital within 5 days";"Neonate, arrived within first two days of life or transferre";F;2000/04/05;"385"
"386A";"15";"Neonate with birthweight < 500 g, survived at least one day and night";"Neonate with birthweight < 500 g, survived at least one day";F;1998/11/23;"386A"
"386B";"15";"Neonate with birthweight 500 - 749 g, died after first two days of life";"Neonate with birthweight 500 - 749 g, died after first two d";F;1998/11/23;"386B"
"386C";"15";"Neonate with birthweight 500 - 749 g, discharged alive";"Neonate with birthweight 500 - 749 g, discharged alive";F;1998/11/23;"386C"
"386D";"15";"Neonate with birthweight 750 - 999 g, died after first two days of life";"Neonate with birthweight 750 - 999 g, died after first two d";F;1998/11/23;"386D"
"386E";"15";"Neonate with birthweight 750 - 999 g, discharged alive";"Neonate with birthweight 750 - 999 g, discharged alive";F;1998/11/23;"386E"
"386N";"15";"Neonate, birthweight  under 1000 g";"Neonate, birthweight  under 1000 g";T;2009/05/06;"386N"
"386X";"15";"Extrem prematurity or RDS";"Extrem prematurity or RDS";F;2001/01/08;"386"
"387A";"15";"Neonate with birthweight 1000-1499 g, with major neonatal operation, discharged alive";"Neonate with birthweight 1000-1499 g, with major neonatal op";F;1998/11/23;"387A"
"387B";"15";"Neonate with birthweight 1000 - 1499 g, died after first two days of life";"Neonate with birthweight 1000 - 1499 g, died after first two";F;1998/11/23;"387B"
"387D";"15";"Neonate with birthweight 1500 - 2499 g, with multiple major problems, with major neonatal operation, survived at least one day and night";"Neonate with birthweight 1500 - 2499 g, with multiple major";F;1998/11/23;"387D"
"387E";"15";"Neonate with birthweight 1500-2499 g, with multiple major problems, w/o major neonatal operation, with respirator therapy, survived at least one day and night";"Neonate with birthweight 1500-2499 g, with multiple major pr";F;1998/11/23;"387E"
"387F";"15";"Neonate with birthweight 1500-2499 g, with multiple major problems, w/o major neonatal operation, w/o respirator therapy, survived at least one day and night";"Neonate with birthweight 1500-2499 g, with multiple major pr";F;1998/12/07;"387F"
"387N";"15";"Neonate, birthweight 1000-1499 g";"Neonate, birthweight 1000-1499 g";T;2012/10/26;"387N"
"387X";"15";"Prematurity with major problems";"Prematurity with major problems";F;2001/01/08;"387"
"388A";"15";"Neonate, birthweight 1500-2499 g or other immaturity with multiple problems";"Neonate, birthweight 1500-2499 g or other immaturity with mu";T;2007/04/22;"388A"
"388B";"15";"Neonate, birthweight 1500-2499 g or other immaturity w/o multiple problems";"Neonate, birthweight 1500-2499 g or other immaturity w/o mu";T;2007/04/22;"388B"
"388C";"15";"Severe respiratory problem of premature infant";"Severe respiratory problem of premature infant";T;2009/05/06;"388C"
"388X";"15";"Prematurity w/o major problems";"Prematurity w/o major problems";F;1996/12/31;"388"
"389A";"15";"Neonate, birthweight 1500 g or more,  with major operation";"Neonate, birthweight 1500 g or more,  with major operation";T;2006/04/27;"389A"
"389B";"15";"Neonate, birthweight 2500 g or more, with multiple problems";"Neonate, birthweight 2500 g or more, with multiple problems";T;2005/08/19;"389B"
"389C";"15";"Severe respiratory problem of mature infant";"Severe respiratory problem of mature infant";T;2008/06/13;"389C"
"389D";"15";"Neonate with birthweight over 2500 g, w/o multiple major problems, with major neonatal operation, survived at least one day and night";"Neonate with birthweight over 2500 g, w/o multiple major pro";F;2008/06/13;"389D"
"389E";"15";"Neonate with birthweight over 2500 g, w/o multiple major problems, w/o major neonatal operation, with respirator therapy, survived at least one day and night";"Neonate with birthweight over 2500 g, w/o multiple major pro";F;1998/12/03;"389E"
"389X";"15";"Full term neonate w major problems";"Full term neonate w major problems";F;1996/12/31;"389"
"390B";"15";"Neonate with birthweight over 2500 g, w/o multiple major problems,  w/o respirator therapy, with only minor neonatal operation, survived at least one day and night";"Neonate with birthweight over 2500 g, w/o multiple major pro";F;1998/11/23;"390B"
"390X";"15";"Neonate, birthweight 2500 g or more, with other significant problem";"Neonate, birthweight 2500 g or more, with other significant";T;2000/04/26;"390"
"391O";"15";"Normal  newborn discharged home same day";"Normal  newborn discharged home same day";F;2008/12/29;"391O"
"391X";"15";"Normal newborn";"Normal newborn";T;2000/04/26;"391"
"392X";"16";"Splenectomy age > 17";"Splenectomy age > 17";T;1996/12/31;"392"
"393N";"16";"Splenectomy";"Splenectomy";F;2010/03/08;"393N"
"393O";"16";"Splenectomy, short therapy";"Splenectomy, short therapy";T;2003/05/23;"393O"
"393X";"16";"Splenectomy age 0-17";"Splenectomy age 0-17";T;1996/12/31;"393"
"394O";"16";"Other o. r. procedures of the blood and blood forming organ, short therapy";"Other o. r. procedures of the blood and blood forming organ,";T;2003/05/26;"394O"
"394X";"16";"Other o. r. procedures of the blood and blood forming organ";"Other o. r. procedures of the blood and blood forming organ";T;1996/12/31;"394"
"395C";"16";"Red blood cell disorders w cc";"Red blood cell disorders w cc";F;2010/03/08;"395C"
"395M";"16";"Red blood cell disorders w mcc";"Red blood cell disorders w mcc";F;2010/03/08;"395M"
"395N";"16";"Red blood cell disorders > 17";"Red blood cell disorders > 17";F;2010/03/08;"395N"
"395X";"16";"Red blood cell disorders > 17";"Red blood cell disorders > 17";T;2001/08/14;"395"
"396X";"16";"Red blood cell disorders age 0-17";"Red blood cell disorders age 0-17";T;1996/12/31;"396"
"397C";"16";"Coagulation disorders w cc";"Coagulation disorders w cc";F;2010/03/08;"397C"
"397N";"16";"Coagulation disorders";"Coagulation disorders";F;2010/03/08;"397N"
"397X";"16";"Coagulation disorders";"Coagulation disorders";T;1996/12/31;"397"
"398C";"16";"Reticuloendothelial & immunity disorders w cc";"Reticuloendothelial & immunity disorders w cc";F;2010/03/08;"398C"
"398M";"16";"Reticuloendothelial & immunity disorders w mcc";"Reticuloendothelial & immunity disorders w mcc";F;2010/03/08;"398M"
"398X";"16";"Reticuloendothelial & immunity disorders w cc";"Reticuloendothelial & immunity disorders w cc";T;1996/12/31;"398"
"399X";"16";"Reticuloendothelial & immunity disorders w/o cc";"Reticuloendothelial & immunity disorders w/o cc";T;1996/12/31;"399"
"400C";"17";"Lymphoma & leukemia w major o. r. procedure w cc";"Lymphoma & leukemia w major o. r. procedure w cc";F;2010/03/08;"400C"
"400N";"17";"Lymphoma & leukemia w major o. r. procedure w/o cc";"Lymphoma & leukemia w major o. r. procedure w/o cc";F;2010/03/08;"400N"
"400X";"17";"Lymphoma & leukemia w major o. r. procedure";"Lymphoma & leukemia w major o. r. procedure";T;1998/11/22;"400"
"401X";"17";"Lymphoma & non-acute leukemia w other o. r. proc w cc";"Lymphoma & non-acute leukemia w other o. r. proc w cc";T;1996/12/31;"401"
"402O";"17";"Lymphoma & non-acute leukemia w o. r. procedures, short therapy";"Lymphoma & non-acute leukemia w o. r. procedures, sh th";T;2003/06/23;"402O"
"402X";"17";"Lymphoma & non-acute leukemia w other o. r. proc w/o cc";"Lymphoma & non-acute leukemia w other o. r. proc w/o cc";T;1996/12/31;"402"
"403C";"17";"Lymphoma & non-acute leukemia w cc";"Lymphoma & non-acute leukemia w cc";F;2010/03/08;"403C"
"403M";"17";"Lymphoma & non-acute leukemia w mcc";"Lymphoma & non-acute leukemia w mcc";F;2010/03/08;"403M"
"403X";"17";"Lymphoma & non-acute leukemia w cc";"Lymphoma & non-acute leukemia w cc";T;1996/12/31;"403"
"404A";"17";"Lymphoma & non-acute leukemia w/o cc, radationtherapy";"Lymphoma & non-acute leukemia w/o cc, radationtherapy";F;2006/01/16;"404A"
"404B";"17";"Lymphoma & non-acute leukemia w/o cc, isotope therapy";"Lymphoma & non-acute leukemia w/o cc, isotope therapy";F;2006/01/16;"404B"
"404C";"17";"Lymphoma & non-acute leukemia w/o cc, cytostatic therapy";"Lymphoma & non-acute leukemia w/o cc, cytostatic therapy";F;2006/01/16;"404C"
"404D";"17";"Lymphoma & non-acute leukemia w/o cc, demanding cytostatic therapy";"Lymphoma & non-acute leukemia w/o cc, demanding cytostatic t";F;2006/01/16;"404D"
"404E";"17";"Lymphoma & non-acute leukemia w/o cc, special demanding cytostatic therapy";"Lymphoma & non-acute leukemia w/o cc, spec dem cyt.stat ther";F;2006/01/16;"404E"
"404F";"17";"Lymphoma & non-acute leukemia w/o cc";"Lymphoma & non-acute leukemia w/o cc";F;2006/01/16;"404F"
"404O";"17";"Lymphoma & leukemia, short therapy";"Lymphoma & leukemia, short therapy";F;2009/06/03;"404O"
"404X";"17";"Lymphoma & non-acute leukemia w/o cc";"Lymphoma & non-acute leukemia w/o cc";T;1996/12/31;"404"
"405C";"17";"Acute leukemia w/o major o. r. procedure age 0-17 w cc";"Acute leukemia w/o major o. r. procedure age 0-17 w cc";F;2010/03/08;"405C"
"405N";"17";"Acute leukemia w/o major o. r. procedure age 0-17 w/o cc";"Acute leukemia w/o major o. r. procedure age 0-17 w/o cc";F;2010/03/08;"405N"
"405X";"17";"Acute leukemia w/o major o. r. procedure age 0-17";"Acute leukemia w/o major o. r. procedure age 0-17";T;1996/12/31;"405"
"406X";"17";"Myeloprolif disord or poorly diff neopl w major o. r. procedures and w cc";"Myeloprolif disord or poorly diff neopl w major o. r. proced";T;2001/08/14;"406"
"407N";"17";"Myeloprolif disord or poorly diff neopl w major o. r. proc";"Myeloprolif disord or poorly diff neopl w major o. r. proc";F;2010/03/08;"407N"
"407O";"17";"Myeloproliferative disorder or poorly neoplasm w major o r procedures, short therapy";"Myeloproliferative disorder or poorly neoplasm w major o r p";T;2003/05/26;"407O"
"407X";"17";"Myeloprolif disord or poorly diff neopl w major o. r. proc but w/o cc";"Myeloprolif disord or poorly diff neopl w major o. r. proc b";T;2001/08/14;"407"
"408C";"17";"Myeloprolif disord or poorly diff neopl w other o. r. proc w cc";"Myeloprolif dis or poor diff neopl w other o. r. proc w cc";F;2010/03/08;"408C"
"408N";"17";"Myeloprolif disord or poorly diff neopl w other o. r. proc";"Myeloprolif disord or poorly diff neopl w other o. r. proc";F;2010/03/08;"408N"
"408O";"17";"Myeloprolif disord or poorly diff neopl w other o. r. proc, short therapy";"Myeloprolif disord or poorly diff neopl w other o. r. proc,";T;2003/05/26;"408O"
"408X";"17";"Myeloprolif disord or poorly diff neopl w other o. r. proc";"Myeloprolif disord or poorly diff neopl w other o. r. proc";T;1996/12/31;"408"
"409C";"17";"Radiotherapy w cc";"Radiotherapy w cc";F;2010/03/08;"409C"
"409N";"17";"Radiotherapy";"Radiotherapy";F;2010/03/08;"409N"
"409O";"17";"Radiotherapy, short therapy";"Radiotherapy, short therapy";T;2003/05/26;"409O"
"409X";"17";"Radiotherapy";"Radiotherapy";T;1996/12/31;"409"
"410B";"17";"Chemotherapy w/o acute leukemia as secondary diagnosis, group I";"Chemotherapy w/o acute leukemia as secondary diagnosis, gr I";F;2000/01/30;"410B"
"410C";"17";"Chemotherapy w/o acute leukemia as secondary diagnosis, group II";"Chemotherapy w/o acute leukemia as sec diagnosis, gr II";F;2000/01/30;"410C"
"410O";"17";"Chemotherapy w/o acute leukemia as secondary diagnosis, short therapy";"Chemotherapy w/o acute leukemia as secondary diagnosis, shor";F;2003/05/26;"410O"
"410X";"17";"Chemotherapy w/o acute leukemia as secondary diagnosis";"Chemotherapy w/o acute leukemia as secondary diagnosis";T;1996/12/31;"410"
